Name,Equities,pct,id,Ranking,Sector1,Sector2,Indice
Norges Bank Investment Management,7192406,1.52,AIR-LIQUIDE,4,Basic Materials,Commodity Chemicals - NEC, CAC40
"Thornburg Investment Management, Inc.",5802018,1.23,AIR-LIQUIDE,5,Basic Materials,Commodity Chemicals - NEC, CAC40
Lyxor International Asset Management SAS,4643827,0.98,AIR-LIQUIDE,6,Basic Materials,Commodity Chemicals - NEC, CAC40
Mawer Investment Management Ltd.,4225562,0.89,AIR-LIQUIDE,7,Basic Materials,Commodity Chemicals - NEC, CAC40
Amundi Asset Management SA (Investment Management),4103462,0.87,AIR-LIQUIDE,8,Basic Materials,Commodity Chemicals - NEC, CAC40
Artisan Partners LP,4102863,0.87,AIR-LIQUIDE,9,Basic Materials,Commodity Chemicals - NEC, CAC40
BlackRock Advisors (UK) Ltd.,3708069,0.78,AIR-LIQUIDE,10,Basic Materials,Commodity Chemicals - NEC, CAC40
Schneider Electric S.E.,31046884,5.33,SCHNEIDER-ELECTRIC-SE,1,Industrials,Electrical Components & Equipment - NEC, CAC40
Schneider Electric SA Employee Stock Ownership Plan,21745793,3.74,SCHNEIDER-ELECTRIC-SE,2,Industrials,Electrical Components & Equipment - NEC, CAC40
"The Vanguard Group, Inc.",15928929,2.74,SCHNEIDER-ELECTRIC-SE,3,Industrials,Electrical Components & Equipment - NEC, CAC40
Norges Bank Investment Management,14854129,2.55,SCHNEIDER-ELECTRIC-SE,4,Industrials,Electrical Components & Equipment - NEC, CAC40
Massachusetts Financial Services Co.,13793906,2.37,SCHNEIDER-ELECTRIC-SE,5,Industrials,Electrical Components & Equipment - NEC, CAC40
MFS International (UK) Ltd.,9944192,1.71,SCHNEIDER-ELECTRIC-SE,6,Industrials,Electrical Components & Equipment - NEC, CAC40
Wellington Management Co. LLP,8670968,1.49,SCHNEIDER-ELECTRIC-SE,7,Industrials,Electrical Components & Equipment - NEC, CAC40
Dodge & Cox,7595424,1.31,SCHNEIDER-ELECTRIC-SE,8,Industrials,Electrical Components & Equipment - NEC, CAC40
Baillie Gifford & Co.,6650979,1.14,SCHNEIDER-ELECTRIC-SE,9,Industrials,Electrical Components & Equipment - NEC, CAC40
Amundi Asset Management SA (Investment Management),5793585,1,SCHNEIDER-ELECTRIC-SE,10,Industrials,Electrical Components & Equipment - NEC, CAC40
Danone S.A.,37249539,5.43,DANONE,1,Consumer Non-Cyclical,Food Processing - NEC, CAC40
Massachusetts Financial Services Co.,19648399,2.86,DANONE,2,Consumer Non-Cyclical,Food Processing - NEC, CAC40
"The Vanguard Group, Inc.",18145783,2.64,DANONE,3,Consumer Non-Cyclical,Food Processing - NEC, CAC40
First Eagle Investment Management LLC,16161940,2.36,DANONE,4,Consumer Non-Cyclical,Food Processing - NEC, CAC40
Norges Bank Investment Management,13209935,1.93,DANONE,5,Consumer Non-Cyclical,Food Processing - NEC, CAC40
Caisse Des Dépôts & Consignations (Investment Management),10866611,1.58,DANONE,6,Consumer Non-Cyclical,Food Processing - NEC, CAC40
MFS International (UK) Ltd.,10817270,1.58,DANONE,7,Consumer Non-Cyclical,Food Processing - NEC, CAC40
Sofina SA (Private Equity),8838293,1.29,DANONE,8,Consumer Non-Cyclical,Food Processing - NEC, CAC40
Groupe Danone SA Employee Stock Ownership Plan,8666386,1.26,DANONE,9,Consumer Non-Cyclical,Food Processing - NEC, CAC40
Lyxor International Asset Management SAS,8610198,1.25,DANONE,10,Consumer Non-Cyclical,Food Processing - NEC, CAC40
Vinci SA Employee Stock Ownership Plan,53346719,8.8,VINCI,1,Industrials,Construction & Engineering - NEC, CAC40
VINCI SA,50315655,8.3,VINCI,2,Industrials,Construction & Engineering - NEC, CAC40
Qatar Holding LLC,22429870,3.7,VINCI,3,Industrials,Construction & Engineering - NEC, CAC40
"The Vanguard Group, Inc.",14126093,2.33,VINCI,4,Industrials,Construction & Engineering - NEC, CAC40
Norges Bank Investment Management,11457525,1.89,VINCI,5,Industrials,Construction & Engineering - NEC, CAC40
Wellington Management Co. LLP,9976357,1.65,VINCI,6,Industrials,Construction & Engineering - NEC, CAC40
Capital Research & Management Co. (Global Investors),8155359,1.35,VINCI,7,Industrials,Construction & Engineering - NEC, CAC40
BlackRock Fund Advisors,6600472,1.09,VINCI,8,Industrials,Construction & Engineering - NEC, CAC40
Fidelity Management & Research Co.,6597308,1.09,VINCI,9,Industrials,Construction & Engineering - NEC, CAC40
Amundi Asset Management SA (Investment Management),6305585,1.04,VINCI,10,Industrials,Construction & Engineering - NEC, CAC40
Pinault Francois Family,51737283,41,KERING,1,Consumer Cyclical,Apparel & Accessories Retailers - NEC, CAC40
"Invesco Advisers, Inc.",5080366,4.02,KERING,2,Consumer Cyclical,Apparel & Accessories Retailers - NEC, CAC40
Baillie Gifford & Co.,2948618,2.33,KERING,3,Consumer Cyclical,Apparel & Accessories Retailers - NEC, CAC40
Harris Associates LP,2666400,2.11,KERING,4,Consumer Cyclical,Apparel & Accessories Retailers - NEC, CAC40
Capital Research & Management Co. (World Investors),2557933,2.03,KERING,5,Consumer Cyclical,Apparel & Accessories Retailers - NEC, CAC40
"The Vanguard Group, Inc.",2243738,1.78,KERING,6,Consumer Cyclical,Apparel & Accessories Retailers - NEC, CAC40
Norges Bank Investment Management,1820502,1.44,KERING,7,Consumer Cyclical,Apparel & Accessories Retailers - NEC, CAC40
"JPMorgan Private Investments, Inc.",1768302,1.4,KERING,8,Consumer Cyclical,Apparel & Accessories Retailers - NEC, CAC40
Jennison Associates LLC,1660296,1.31,KERING,9,Consumer Cyclical,Apparel & Accessories Retailers - NEC, CAC40
Lyxor International Asset Management SAS,1552840,1.23,KERING,10,Consumer Cyclical,Apparel & Accessories Retailers - NEC, CAC40
DWS Investment GmbH,235377048,18.8,BNP-PARIBAS,1,Financials,Banks - NEC, CAC40
Government of Belgium,96549030,7.73,BNP-PARIBAS,2,Financials,Banks - NEC, CAC40
BNP Paribas SA Employee Stock Ownership Plan,39170000,3.13,BNP-PARIBAS,3,Financials,Banks - NEC, CAC40
